name|mana_cost|mana_value|rules_text
Krark, the Thumbless|{1}{R}|2|Legendary Creature — Goblin Wizard. Partner. Whenever you cast an instant or sorcery spell, flip a coin. If you lose the flip, return that spell to its owner's hand. If you win the flip, copy that spell. You may choose new targets for the copy.
Sakashima of a Thousand Faces|{3}{U}|4|Legendary Creature — Human Rogue. Partner. You may have Sakashima of a Thousand Faces enter the battlefield as a copy of any creature you control on the battlefield, except it has Sakashima of a Thousand Faces's other abilities. The "legend rule" doesn't apply to permanents you control.
Archmage Emeritus|{2}{U}{U}|4|Magecraft — Whenever you cast or copy an instant or sorcery spell, draw a card.
Birgi, God of Storytelling|{2}{R}|3|Whenever you cast a spell, add {R}. Until end of turn, you don't lose this mana as steps and phases end. (Back: Harnfel, Horn of Bounty)
Dualcaster Mage|{1}{R}{R}|3|Flash. When Dualcaster Mage enters the battlefield, copy target instant or sorcery spell. You may choose new targets for the copy.
Gale, Waterdeep Prodigy|{2}{U}|3|Legendary Creature — Human Wizard. Whenever you cast an instant spell from your hand, you may cast target sorcery card from your graveyard. If you do, exile it when it resolves. Whenever you cast a sorcery spell from your hand, you may cast target instant card from your graveyard.
Opt|{U}|1|Scry 1. Draw a card.
Harmonic Prodigy|{1}{R}|2|Prowess. If an ability of a Shaman or Wizard you control triggers, that ability triggers an additional time.
Imperial Recruiter|{2}{R}|3|When Imperial Recruiter enters the battlefield, search your library for a creature card with power 2 or less, reveal it, put it into your hand, then shuffle.
Consider|{U}|1|Look at the top card of your library. You may put that card into your graveyard. Draw a card.
Snapcaster Mage|{1}{U}|2|Flash. When Snapcaster Mage enters the battlefield, target instant or sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost.
Spellseeker|{2}{U}|3|When Spellseeker enters the battlefield, search your library for an instant or sorcery card with mana value 2 or less, reveal it, put it into your hand, then shuffle.
Storm-Kiln Artist|{3}{R}|4|Magecraft — Whenever you cast or copy an instant or sorcery spell, create a Treasure token. Storm-Kiln Artist gets +1/+0 for each artifact you control.
Tavern Scoundrel|{1}{R}|2|Whenever you flip a coin, if you win the flip, create two Treasure tokens. {1}, Sacrifice a permanent: Flip a coin.
Treasonous Ogre|{3}{R}|4|Dethrone. Pay 3 life: Add {R}.
Urabrask|{2}{R}{R}|4|Legendary Creature — Praetor. Whenever you cast an instant or sorcery spell, Urabrask deals 1 damage to target opponent and you add {R}. {R}: Exile Urabrask, then return it transformed under its owner's control. Activate only as a sorcery and only if you've cast three or more instant and/or sorcery spells this turn.
Veyran, Voice of Duality|{1}{U}{R}|3|Magecraft — Whenever you cast or copy an instant or sorcery spell, Veyran gets +1/+1 until end of turn. If casting or copying an instant or sorcery spell causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Vivi Ornitier|{1}{U}{R}|3|Legendary Creature — Wizard. {0}: Add X mana in any combination of {U} and/or {R}, where X is Vivi Ornitier's power. Activate only during your turn and only once each turn. Whenever you cast a noncreature spell, put a +1/+1 counter on Vivi Ornitier and it deals 1 damage to each opponent.
Glasspool Mimic|{2}{U}|3|You may have Glasspool Mimic enter the battlefield as a copy of any creature you control, except it's a Rogue in addition to its other types. (Back: Glasspool Shore)
Phantasmal Image|{1}{U}|2|You may have Phantasmal Image enter the battlefield as a copy of any creature on the battlefield, except it's an Illusion in addition to its other types and it has "When this creature becomes the target of a spell or ability, sacrifice it."
Brainstorm|{U}|1|Draw three cards, then put two cards from your hand on top of your library in any order.
Gamble|{R}|1|Search your library for a card, put it into your hand, shuffle, then discard a card at random.
Jeska's Will|{2}{R}|3|Choose one. If you control a commander as you cast this spell, you may choose both — Add {R} for each card in target opponent's hand; or Exile the top three cards of your library. You may play them this turn.
Ponder|{U}|1|Look at the top three cards of your library, then put them back in any order. You may shuffle. Draw a card.
Cyclonic Rift|{1}{U}|2|Return target nonland permanent you don't control to its owner's hand. Overload {6}{U} (You may cast this spell for its overload cost. If you do, replace each instance of "target" with "each".)
Grapeshot|{1}{R}|2|Grapeshot deals 1 damage to any target. Storm.
Twinflame|{1}{R}|2|Choose any number of target creatures you control. For each of them, create a token that's a copy of that creature, except it has haste. Sacrifice those tokens at the beginning of the next end step. Strive {1}{R}.
Molten Duplication|{1}{R}|2|Create a token that's a copy of target artifact or creature you control, except it's an artifact in addition to its other types. It gains haste until end of turn. Sacrifice it at the beginning of the next end step.
Flare of Duplication|{1}{R}{R}|3|You may sacrifice a nontoken red creature rather than pay this spell's mana cost. Copy target instant or sorcery spell. You may choose new targets for the copy.
Brain Freeze|{1}{U}|2|Target player mills three cards. Storm.
Frantic Search|{2}{U}|3|Draw two cards, then discard two cards. Untap up to three lands.
Snap|{1}{U}|2|Return target creature to its owner's hand. Untap up to two lands.
Gut Shot|{R/P}|1|Gut Shot deals 1 damage to any target. ({R/P} can be paid with either {R} or 2 life.)
Strike It Rich|{R}|1|Create a Treasure token. Flashback {2}{R}.
Desperate Ritual|{1}{R}|2|Add {R}{R}{R}. Splice onto Arcane {1}{R}
Pyretic Ritual|{1}{R}|2|Add {R}{R}{R}.
Deflecting Swat|{2}{R}|3|You may choose new targets for target spell or ability. If you control a commander, you may cast this spell without paying its mana cost.
Fierce Guardianship|{2}{U}|3|Counter target noncreature spell. If you control a commander, you may cast this spell without paying its mana cost.
Flusterstorm|{U}|1|Counter target instant or sorcery spell unless its controller pays {1}. Storm.
Force of Will|{3}{U}{U}|5|You may pay 1 life and exile a blue card from your hand rather than pay this spell's mana cost. Counter target spell.
